内科,huxineike,xiaohuaneike,miniaoneike,xinneike,xueyeke,neifenmike,shenjingneike,shenneike,yichuanbingke,fengshimianyike
外科,ganranke,puwaike,guwaike,shenjingwaike,xinxiongwaike,gandanwaike,miniaowaike,shaoshangke,gangchangke,zhengxingmeirongke
妇产科,fuke,chanke
传染科,chuanranke
生殖健康,buyunbuyu
男科,nanke
皮肤性病科,pifuke,xingbingke
中医科,zhongyizonghe,zhongyigushangke,zhongyililiaoke
中西医结合科,zhongxiyijieheke
五官科,yanke,kouqiangke,erbihouke
精神科,jingshenke
心理科,xinlike
儿科,erkezonghe,xiaoerwaike,xiaoerneike
营养科,yingyangke
肿瘤科,zhongliuneike,zhongliuwaike
其他科室,yaopinke,zhongzhengjianhu,fuzhujiancha,kangfuke,liliaoke,qitazonghe,baojianyangsheng
急诊科,jizhenke
体检科,tijianke
